pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_insol,discoverymethod,hostname
Kepler-6 b,13.31600225,,3.23469439654,,843.7112,Transit,Kepler-6
Kepler-6 b,13.103321,205.63601,3.2346994,0.04448,,Transit,Kepler-6
Kepler-6 b,14.616536,212.31044,3.2346996,0.04852,,Transit,Kepler-6
Kepler-6 b,11.07,,3.23469955,0.045,,Transit,Kepler-6
Kepler-6 b,13.41,,3.234699312,0.0435,797.62,Transit,Kepler-6
Kepler-6 b,13.41,,3.234699312,0.0435,797.62,Transit,Kepler-6
Kepler-6 b,13.101,,3.234699312,0.04408,753.0,Transit,Kepler-6
Kepler-6 b,,,3.234699282,,,Transit,Kepler-6
Kepler-6 b,12.902,,,,792.218,Transit,Kepler-6
Kepler-6 b,,,3.234699,,,Transit,Kepler-6
Kepler-6 b,,,3.2346993953,,,Transit,Kepler-6
Kepler-6 b,13.41,,3.234699312,0.0435,797.62,Transit,Kepler-6
Kepler-6 b,13.103321,201.18639,3.234702,0.04438,,Transit,Kepler-6
Kepler-6 b,14.83,212.619,3.234723,0.04567,,Transit,Kepler-6
Kepler-6 b,,,3.23469918,,,Transit,Kepler-6
Kepler-6 b,13.06,,3.234699282,0.0435,797.62,Transit,Kepler-6
Kepler-6 b,,,3.2346993,,,Transit,Kepler-6
Kepler-6 b,13.38,,3.234699312,,,Transit,Kepler-6
Kepler-491 b,8.547,,4.225384512,0.05191,300.1,Transit,Kepler-491
Kepler-491 b,,,4.2253841112,,,Transit,Kepler-491
Kepler-491 b,9.16,,4.225384512,0.0524,369.43,Transit,Kepler-491
Kepler-491 b,9.0,,4.225384543,0.0516,360.46,Transit,Kepler-491
Kepler-491 b,8.88931966,,4.22534982536,,342.3014,Transit,Kepler-491
Kepler-491 b,9.16,,4.225384512,0.0524,369.43,Transit,Kepler-491
Kepler-491 b,8.92,,4.225384512,,,Transit,Kepler-491
Kepler-491 b,8.523,,,,312.514,Transit,Kepler-491
Kepler-491 b,9.16,,4.225384512,0.0524,369.43,Transit,Kepler-491
Kepler-491 b,,,4.225384543,,,Transit,Kepler-491
Kepler-491 b,10.0,,4.2253846,0.052,,Transit,Kepler-491
Kepler-257 b,2.67,,2.382652169,0.0333,553.53,Transit,Kepler-257
Kepler-257 b,2.0,,2.382666,0.032,,Transit,Kepler-257
Kepler-257 b,2.74,,2.382652873,0.0333,553.53,Transit,Kepler-257
Kepler-257 b,2.22,,2.382652169,,,Transit,Kepler-257
Kepler-257 b,2.67,,2.382652169,0.0333,553.53,Transit,Kepler-257
Kepler-257 b,,,2.382652873,,,Transit,Kepler-257
Kepler-257 b,2.201,,2.382652169,0.03391,343.6,Transit,Kepler-257
Kepler-257 b,,,2.38265264,,,Transit,Kepler-257
Kepler-257 b,2.61,,2.382667,0.034,,Transit,Kepler-257
