pl_name,pl_rade,pl_orbper,pl_insol,hostname
Kepler-257 b,2.0,2.382666,,Kepler-257
Kepler-216 b,1.91,7.69364042,239.66,Kepler-216
Kepler-216 b,1.91,7.69364042,239.66,Kepler-216
Kepler-216 b,1.96,7.693491,,Kepler-216
Kepler-216 b,1.91,7.69364042,239.66,Kepler-216
Kepler-32 c,2.0,8.7522,,Kepler-32
Kepler-32 c,1.94,8.752,10.68,Kepler-32
Kepler-32 c,1.83,8.75209691,9.76,Kepler-32
Kepler-32 c,2.0,8.7522,,Kepler-32
Kepler-32 c,1.98,8.75208025,9.7,Kepler-32
Kepler-32 c,1.99,8.752167,,Kepler-32
Kepler-179 b,1.8,2.735903375,,Kepler-179
Kepler-179 b,1.58,2.735903375,312.39,Kepler-179
Kepler-179 b,1.7,2.73589,,Kepler-179
Kepler-179 b,1.64,2.735926,,Kepler-179
Kepler-179 b,1.58,2.735903375,312.39,Kepler-179
Kepler-179 b,1.694,,360.262,Kepler-179
Kepler-179 b,1.708,2.735903375,338.9,Kepler-179
Kepler-179 b,1.58,2.735903375,312.39,Kepler-179
Kepler-179 b,1.56,2.735900074,315.95,Kepler-179
Kepler-166 d,1.58,1.554003928,731.43,Kepler-166
Kepler-166 d,1.73,1.554003928,,Kepler-166
Kepler-166 d,1.59,1.55400389,704.5,Kepler-166
Kepler-166 d,1.667,,651.409,Kepler-166
Kepler-166 d,1.58,1.554003928,731.43,Kepler-166
Kepler-166 d,1.7,1.554001,,Kepler-166
Kepler-166 d,1.58,1.554003928,731.43,Kepler-166
Kepler-166 d,1.602,1.554003928,637.4,Kepler-166
Kepler-52 b,1.93,7.87761021,,Kepler-52
Kepler-197 d,1.42,15.67750191,101.79,Kepler-197
Kepler-197 d,1.36,15.67757,,Kepler-197
Kepler-197 d,1.5,,109.091,Kepler-197
K2-187 e,1.9,13.606629,,K2-187
K2-187 c,1.8,2.872042,,K2-187
K2-187 c,1.8,2.871348,,K2-187
K2-187 c,1.4,2.871512,,K2-187
K2-187 c,1.9,2.87162,,K2-187
K2-187 c,1.70058746,2.871788,,K2-187
K2-270 b,1.38,1.543069,,K2-270
K2-270 b,1.5,1.543041,,K2-270
K2-270 b,1.3,1.543452,,K2-270
K2-381 c,2.0,16.034656,,K2-381
K2-381 c,2.0,16.038474,,K2-381
K2-216 b,1.75,2.1748,248.0,K2-216
K2-216 b,1.79105,2.1747824,174.942,K2-216
K2-216 b,1.67844825,2.174789,,K2-216
K2-216 b,1.63,2.174829,,K2-216
K2-216 b,1.63,2.174782,,K2-216
K2-216 b,1.7,2.174769,,K2-216
K2-216 b,1.66,2.174789,207.0,K2-216
K2-151 b,1.49,3.835476,,K2-151
K2-151 b,1.35,3.835592,20.8,K2-151
K2-151 b,1.5,3.835376,,K2-151
Kepler-197 b,1.289,,431.256,Kepler-197
K2-244 b,1.75,21.06884,,K2-244
K2-244 b,1.65007129,21.070201,,K2-244
K2-162 b,1.44,9.45889,,K2-162
K2-162 b,1.48630496,9.457747,,K2-162
K2-165 b,1.27443657,2.354992,,K2-165
K2-165 c,1.55409035,4.382745,,K2-165
Kepler-477 b,1.84,11.11990653,38.71,Kepler-477
Kepler-477 b,1.84,11.11990653,38.71,Kepler-477
Kepler-477 b,1.84,11.11990653,38.71,Kepler-477
EPIC 201595106 b,1.565,0.87724,2852.0,EPIC 201595106
EPIC 201595106 b,1.3,0.877214,,EPIC 201595106
EPIC 201595106 b,1.40575209,0.877183,,EPIC 201595106
K2-166 b,1.82322896,8.527219,,K2-166
K2-176 b,1.49090097,5.329439,,K2-176
K2-176 b,1.55,5.32944,,K2-176
Kepler-9 d,1.48,1.59295975,1251.43,Kepler-9
Kepler-9 d,1.48,1.59295975,1251.43,Kepler-9
Kepler-9 d,1.64,1.592851,,Kepler-9
Kepler-9 d,1.67,1.5929716,,Kepler-9
Kepler-9 d,1.507,1.59295975,1310.1,Kepler-9
Kepler-9 d,1.507,1.59295975,,Kepler-9
Kepler-9 d,1.527,,1339.658,Kepler-9
K2-183 b,1.46,0.469287,,K2-183
K2-185 b,1.31284773,10.616646,,K2-185
K2-187 b,1.3,0.77392,,K2-187
K2-187 b,1.5,0.773987,,K2-187
K2-187 b,1.3833597,0.773981,,K2-187
K2-188 b,1.35,1.742169,,K2-188
K2-188 b,1.25908622,1.742983,,K2-188
K2-189 b,1.51234354,5.1763,,K2-189
K2-189 b,1.52,2.588309,,K2-189
K2-189 b,1.403,2.58812,497.0,K2-189
K2-189 b,1.587,2.58819,,K2-189
K2-201 b,1.47,1.059806,,K2-201
K2-201 b,1.40006712,1.05979,,K2-201
K2-381 d,1.48,26.8054,,K2-381
K2-381 d,1.53157981,26.804998,,K2-381
K2-381 d,1.689,26.803023,,K2-381
K2-383 b,1.75,1.866025,,K2-383
K2-383 b,1.85861238,1.865979,,K2-383
K2-383 b,1.564,1.865962,,K2-383
K2-203 b,1.37,9.6897,,K2-203
K2-203 b,1.37068602,9.695101,,K2-203
K2-203 b,1.26549392,9.6952,,K2-203
K2-205 b,1.99552771,26.672263,,K2-205
K2-208 b,1.67866113,4.190948,,K2-208
