pl_name,pl_rade,pl_orbper,pl_insol
Kepler-6 b,13.31600225,3.23469439654,843.7112
Kepler-6 b,13.103321,3.2346994,
Kepler-6 b,14.616536,3.2346996,
Kepler-6 b,11.07,3.23469955,
Kepler-6 b,13.41,3.234699312,797.62
Kepler-6 b,13.41,3.234699312,797.62
Kepler-6 b,13.101,3.234699312,753.0
Kepler-6 b,,3.234699282,
Kepler-6 b,12.902,,792.218
Kepler-6 b,,3.234699,
Kepler-6 b,,3.2346993953,
Kepler-6 b,13.41,3.234699312,797.62
Kepler-6 b,13.103321,3.234702,
Kepler-6 b,14.83,3.234723,
Kepler-6 b,,3.23469918,
Kepler-6 b,13.06,3.234699282,797.62
Kepler-6 b,,3.2346993,
Kepler-6 b,13.38,3.234699312,
Kepler-491 b,8.547,4.225384512,300.1
Kepler-491 b,,4.2253841112,
Kepler-491 b,9.16,4.225384512,369.43
Kepler-491 b,9.0,4.225384543,360.46
Kepler-491 b,8.88931966,4.22534982536,342.3014
Kepler-491 b,9.16,4.225384512,369.43
Kepler-491 b,8.92,4.225384512,
Kepler-491 b,8.523,,312.514
Kepler-491 b,9.16,4.225384512,369.43
Kepler-491 b,,4.225384543,
Kepler-491 b,10.0,4.2253846,
Kepler-257 b,2.67,2.382652169,553.53
Kepler-257 b,2.0,2.382666,
Kepler-257 b,2.74,2.382652873,553.53
Kepler-257 b,2.22,2.382652169,
Kepler-257 b,2.67,2.382652169,553.53
Kepler-257 b,,2.382652873,
Kepler-257 b,2.201,2.382652169,343.6
Kepler-257 b,,2.38265264,
Kepler-257 b,2.61,2.382667,
Kepler-257 b,,2.3826432093,
Kepler-257 b,2.67,2.382652169,553.53
Kepler-216 b,2.23,7.69364042,
Kepler-216 b,,7.69362068,
Kepler-216 b,2.35,7.693641,
Kepler-216 b,2.765,,540.034
Kepler-216 b,2.12,7.69363627,308.61
Kepler-216 b,1.91,7.69364042,239.66
Kepler-216 b,1.91,7.69364042,239.66
Kepler-216 b,,7.69363627,
Kepler-216 b,2.867,7.69364042,476.0
Kepler-216 b,1.96,7.693491,
Kepler-216 b,,7.6935719644,
Kepler-216 b,1.91,7.69364042,239.66
Kepler-32 c,2.11,8.75,
Kepler-32 c,2.08,8.75245953,
Kepler-32 c,2.2,8.75210645,9.65
Kepler-32 c,2.0,8.7522,
Kepler-32 c,2.112,,12.993
Kepler-32 c,2.021,,10.692
Kepler-32 c,1.94,8.752,10.68
Kepler-32 c,,8.75209691,
Kepler-32 c,1.83,8.75209691,9.76
Kepler-32 c,2.02,8.752,
Kepler-32 c,2.0,8.7522,
Kepler-32 c,2.37,8.75210645,
Kepler-32 c,1.98,8.75208025,9.7
Kepler-32 c,,8.752097,
Kepler-32 c,2.2,8.75210645,9.65
Kepler-32 c,,8.752097,
Kepler-32 c,2.2,8.75210645,9.65
Kepler-32 c,,8.75208271,
Kepler-32 c,1.99,8.752167,
Kepler-259 c,2.71,36.9249531,18.7
Kepler-259 c,2.76,36.9249531,
Kepler-259 c,,36.92515874,
Kepler-259 c,3.1,36.92564,
Kepler-259 c,2.7,36.924931,
Kepler-259 c,2.71,36.9249531,18.7
Kepler-259 c,,36.9250409,
Kepler-259 c,,36.9251496583,
Kepler-259 c,3.12,,15.054
Kepler-259 c,3.01,36.9250409,18.7
Kepler-259 c,2.741,36.9249531,15.5
Kepler-259 c,2.71,36.9249531,18.7
Kepler-148 c,3.55,4.180049552,202.06
Kepler-148 c,,4.18004979,
Kepler-148 c,3.6,4.180043,
Kepler-148 c,3.46,4.180049552,
Kepler-148 c,3.1,4.1800659,
Kepler-148 c,,4.180048081,
Kepler-148 c,,4.1801057008,
Kepler-148 c,3.55,4.180049552,202.06
Kepler-148 c,3.55,4.180049552,202.06
Kepler-148 c,3.44,4.180048081,197.81
Kepler-148 c,3.339,,187.197
Kepler-222 d,3.75,28.08194365,17.52
Kepler-222 d,3.563,28.08194365,14.7
Kepler-222 d,3.63,28.08185982,17.52
Kepler-222 d,,28.08196251,
Kepler-222 d,,28.08185982,
Kepler-222 d,3.3,28.08209,
